Pred_AdlBM,Pred_FunctionalGroupIndex,Prey_LowerBodyMassBin,Prey_Diet,Prey_Thermoregulation,Prey_BiomassConsumed
8266.95,7,10000,C,Ecto,6.0861e+08
10332.8,7,10,H,Ecto,6.11226e+06
10332.8,7,100,H,Ecto,4.24296e+09
10332.8,7,1000,H,Ecto,4.8782e+08
10332.8,7,100,H,Endo,3.05586e+10
10332.8,7,1000,H,Endo,2.59412e+10
10332.8,7,10000,H,Endo,1.72822e+09
10332.8,7,10,O,Ecto,0.0304607
10332.8,7,100,O,Ecto,4.84193e+09
10332.8,7,1000,O,Ecto,3.18183e+09
10332.8,7,10000,O,Ecto,28776.3
10332.8,7,100,O,Endo,1.12465e+10
10332.8,7,1000,O,Endo,5.0452e+09
10332.8,7,100,C,Ecto,5.19203e+08
10332.8,7,1000,C,Ecto,1.12833e+10
10332.8,7,10000,C,Ecto,3.68331e+07
29259.5,7,100,H,Ecto,7.81939e+08
29259.5,7,1000,H,Ecto,2.53785e+09
29259.5,7,10000,H,Ecto,9.05004e+06
29259.5,7,100,H,Endo,2.70566e+09
29259.5,7,1000,H,Endo,4.753e+10
29259.5,7,10000,H,Endo,2.50966e+09
29259.5,7,100,O,Ecto,1.09973e+09
29259.5,7,1000,O,Ecto,8.70736e+07
29259.5,7,10000,O,Ecto,1.14325e+07
29259.5,7,100,O,Endo,2.2516e+06
29259.5,7,1000,O,Endo,2.33478e+10
29259.5,7,100,C,Ecto,1.22116e+08
29259.5,7,1000,C,Ecto,1.02188e+09
29259.5,7,10000,C,Ecto,1.41159e+09
10582.5,7,10,H,Ecto,727109
10582.5,7,100,H,Ecto,1.20943e+06
10582.5,7,1000,H,Ecto,45678
10582.5,7,100,H,Endo,2.19017e+08
10582.5,7,1000,H,Endo,7.44801e+09
10582.5,7,10000,H,Endo,1.03538e+06
10582.5,7,10,O,Ecto,0.00266805
10582.5,7,100,O,Ecto,4.46883e+07
10582.5,7,1000,O,Ecto,1.40502e+07
10582.5,7,100,O,Endo,1.44828e+08
10582.5,7,1000,O,Endo,3.1381e+07
10582.5,7,100,C,Ecto,2.12908e+07
10582.5,7,1000,C,Ecto,1.4139e+07
10582.5,7,10000,C,Ecto,9052.19
29259.5,7,10,H,Ecto,141368
29259.5,7,100,H,Ecto,4.64441e+08
29259.5,7,1000,H,Ecto,8.91151e+07
29259.5,7,10000,H,Ecto,6614.49
29259.5,7,100,H,Endo,1.56937e+09
29259.5,7,1000,H,Endo,5.84562e+09
29259.5,7,10000,H,Endo,5.24481e+08
29259.5,7,10,O,Ecto,0.00190578
29259.5,7,100,O,Ecto,4.17245e+08
29259.5,7,1000,O,Ecto,9.81837e+07
29259.5,7,10000,O,Ecto,6219.73
29259.5,7,100,O,Endo,4.38361e+08
29259.5,7,1000,O,Endo,3.65897e+09
29259.5,7,100,C,Ecto,3.03778e+07
29259.5,7,1000,C,Ecto,1.20484e+09
29259.5,7,10000,C,Ecto,3.06505e+06
10849.4,7,10,H,Ecto,49704.4
10849.4,7,100,H,Ecto,1.07319e+06
10849.4,7,1000,H,Ecto,12.9354
10849.4,7,100,H,Endo,340559
10849.4,7,1000,H,Endo,1.9798e+09
10849.4,7,1,O,Ecto,51.3552
10849.4,7,10,O,Ecto,2.10227e-05
10849.4,7,100,O,Ecto,345193
10849.4,7,1000,O,Ecto,20923.2
10849.4,7,100,O,Endo,179821
10849.4,7,1000,O,Endo,403792
10849.4,7,100,C,Ecto,6.0349e+06
10849.4,7,1000,C,Ecto,83713.6
241.332,7,1,H,Ecto,3.05062e+07
241.332,7,10,H,Ecto,337910
241.332,7,100,H,Ecto,6.52484e+07
241.332,7,1,O,Ecto,6.10732e+06
241.332,7,10,O,Ecto,1520.75
241.332,7,100,C,Ecto,0.143569
29709.1,7,10,H,Ecto,982520
29709.1,7,100,H,Ecto,772660
29709.1,7,1000,H,Ecto,14063.3
29709.1,7,100,H,Endo,1.6121e+08
29709.1,7,1000,H,Endo,3.19392e+09
29709.1,7,10000,H,Endo,647971
29709.1,7,10,O,Ecto,0.00310698
29709.1,7,100,O,Ecto,3.98592e+07
29709.1,7,1000,O,Ecto,6.79607e+06
29709.1,7,100,O,Endo,1.76012e+08
29709.1,7,1000,O,Endo,1.16003e+08
29709.1,7,100,C,Ecto,3.75317e+07
29709.1,7,1000,C,Ecto,4.7829e+06
29709.1,7,10000,C,Ecto,382.876
976.578,7,1,H,Ecto,1.23449e+08
976.578,7,10,H,Ecto,375085
976.578,7,100,H,Ecto,8.13262e+07
976.578,7,1,O,Ecto,5.70931e+07
976.578,7,10,O,Ecto,21124.1
1853.03,7,1,H,Ecto,1.64411e+06
1853.03,7,10,H,Ecto,2.85479e+06
1853.03,7,100,H,Ecto,4.91987e+09
1853.03,7,1000,H,Ecto,7091.15
1853.03,7,100,H,Endo,3.41338e+06
1853.03,7,1000,H,Endo,1.58429e+10
1853.03,7,1,O,Ecto,1.5228e+07
1853.03,7,10,O,Ecto,0.686718
1853.03,7,100,O,Ecto,7.98599e+06
1853.03,7,100,O,Endo,2.44462e+06
1853.03,7,1000,O,Endo,1.59697e+07
1853.03,7,100,C,Ecto,6.1684e+08
409.601,7,1,H,Ecto,3.19733e+08
409.601,7,10,H,Ecto,1.26428e+06
409.601,7,100,H,Ecto,1.11286e+07
409.601,7,1,O,Ecto,2.34578e+08
409.601,7,10,O,Ecto,119433
409.601,7,100,C,Ecto,221385
3645,8,10,H,Ecto,24.7297
3645,8,100,H,Ecto,306351
3645,8,1000,H,Ecto,252488
3645,8,10000,H,Ecto,24.9956
3645,8,100,H,Endo,518540
3645,8,1000,H,Endo,2.24211e+06
3645,8,10000,H,Endo,313868
3645,8,10,O,Ecto,1.46728e-07
3645,8,100,O,Ecto,350194
3645,8,1000,O,Ecto,117322
3645,8,10000,O,Ecto,586.107
3645,8,100,O,Endo,85334.9
3645,8,1000,O,Endo,721866
3645,8,100,C,Ecto,75631.2
3645,8,1000,C,Ecto,871305
3645,8,10000,C,Ecto,22815.6
21648.8,8,100,H,Ecto,6892.15
21648.8,8,1000,H,Ecto,4.36961e+06
21648.8,8,10000,H,Ecto,198156
