Pred_AdlBM,Pred_FunctionalGroupIndex,Prey_LowerBodyMassBin,Prey_Diet,Prey_Thermoregulation,Prey_BiomassConsumed
10582.5,7,1000,H,Endo,593528
10582.5,7,10,O,Ecto,5.5875e+06
10582.5,7,100,O,Ecto,1.32802e+07
10582.5,7,1000,O,Ecto,118808
10582.5,7,100,O,Endo,9.41251e+07
10582.5,7,1000,O,Endo,1.04873e+06
10582.5,7,100,C,Ecto,1.43133e+07
10582.5,7,1000,C,Ecto,3.43325e+06
938.953,7,1,O,Ecto,1.19222e+06
938.953,7,10,O,Ecto,1.20194e+06
275.369,7,10,H,Ecto,4306.73
275.369,7,1,O,Ecto,2.29646e+06
275.369,7,10,O,Ecto,3.46249e+06
3645,8,10,H,Ecto,1.32495
3645,8,100,H,Ecto,13021.2
3645,8,1000,H,Ecto,788.733
3645,8,100,H,Endo,6612.58
3645,8,1000,H,Endo,8940.91
3645,8,10,O,Ecto,43.045
3645,8,100,O,Ecto,4443.09
3645,8,1000,O,Ecto,1758.38
3645,8,10000,O,Ecto,65.5111
3645,8,100,O,Endo,5537.72
3645,8,1000,O,Endo,11162.6
3645,8,100,C,Ecto,3497.53
3645,8,1000,C,Ecto,852.528
3645,8,10000,C,Ecto,524.787
33305.8,8,100,H,Ecto,3167.06
33305.8,8,1000,H,Ecto,8.84208e+06
33305.8,8,10000,H,Ecto,1.0512e+06
33305.8,8,1000,H,Endo,5.07177e+07
33305.8,8,10000,H,Endo,702672
33305.8,8,100000,H,Endo,210434
33305.8,8,100,O,Ecto,6346.13
33305.8,8,1000,O,Ecto,731034
33305.8,8,10000,O,Ecto,913760
33305.8,8,1000,O,Endo,8.18274e+07
33305.8,8,10000,O,Endo,6976.9
33305.8,8,100,C,Ecto,0.470502
33305.8,8,1000,C,Ecto,1.38882e+08
33305.8,8,10000,C,Ecto,1.73887e+08
16203.9,8,100,H,Ecto,50024.6
16203.9,8,1000,H,Ecto,5.83991e+06
16203.9,8,10000,H,Ecto,1.5335e+06
16203.9,8,100,H,Endo,7238.1
16203.9,8,1000,H,Endo,5.55872e+07
16203.9,8,10000,H,Endo,1849.41
16203.9,8,100000,H,Endo,512.682
16203.9,8,100,O,Ecto,88219.8
16203.9,8,1000,O,Ecto,868731
16203.9,8,10000,O,Ecto,677250
16203.9,8,100,O,Endo,11107.4
16203.9,8,1000,O,Endo,1.36401e+07
16203.9,8,100,C,Ecto,979.481
16203.9,8,1000,C,Ecto,5.06869e+06
16203.9,8,10000,C,Ecto,9.39576e+06
6847.92,8,100,H,Ecto,497815
6847.92,8,1000,H,Ecto,317686
6847.92,8,10000,H,Ecto,6649.46
6847.92,8,100,H,Endo,269461
6847.92,8,1000,H,Endo,2.91136e+06
6847.92,8,100,O,Ecto,257716
6847.92,8,1000,O,Ecto,575931
6847.92,8,10000,O,Ecto,22897.4
6847.92,8,100,O,Endo,122807
6847.92,8,1000,O,Endo,499202
6847.92,8,100,C,Ecto,28145
6847.92,8,1000,C,Ecto,719995
6847.92,8,10000,C,Ecto,297858
756.748,8,10,H,Ecto,126854
756.748,8,100,H,Ecto,34948.4
756.748,8,100,H,Endo,5463.93
756.748,8,1000,H,Endo,19803
756.748,8,10,O,Ecto,6383.88
756.748,8,100,O,Ecto,17984
756.748,8,1000,O,Ecto,1510.72
756.748,8,100,O,Endo,208684
756.748,8,1000,O,Endo,9233.76
